header,source,link,article_content
"If You're Ready to Retire, Consider These Cities",U.S.,/m/70d33d45-285e-3440-8b3e-e44cc2536754/if-you-re-ready-to-retire-.html,
Comcast Customers Face a Huge Holiday Data Breach,Business,/m/577778e1-a4a0-39bd-a444-dc556e5009e3/comcast-customers-face-a-huge.html,
"Market Rally Not Finished Yet, Five Growth Stocks To Watch; Tesla Shanghai Production Halted",Business,/m/6a03e0ad-f7aa-320d-8296-dec25fdd51a7/market-rally-not-finished.html,
I Changed My Investment Strategy This Year and Prepared for How It Went,Business,/m/395a756e-87bb-3e97-bc2e-b2085ef2a11b/i-changed-my-investment.html,
"As Temps Drop, This Energy Play Should Be a 'Peak' Performer",Business,/m/3b617a42-bbf4-371b-a5f5-ca5a6f4b5585/as-temps-drop-this-energy.html,
A stock-market indicator with one of the best track records has rare good news for investors,Business,/m/cbf8a7bb-3997-3604-a013-aff19a0b6c8b/a-stock-market-indicator-with.html,
"'I Knew What I Was Doing Was Wrong,' Says FTX Co-Founder",Business,/m/c98e3ddd-ecac-3b52-8234-5cd48c93ada6/-i-knew-what-i-was-doing-was.html,
4 Stocks You Can Buy on Sale Right Now,Business,/m/558607bc-2c64-33a0-8133-770c0c8dfec2/4-stocks-you-can-buy-on-sale.html,
This company has wiped out more investor wealth in 2022 than Tesla,Business,/m/2748db21-e293-3769-8d57-c2983cf614e4/this-company-has-wiped-out.html,
The Top 4 Dow Stock Winners of 2022,Business,/m/b14a17ea-b07c-37ad-9d88-35da361f2438/the-top-4-dow-stock-winners.html,
Need a rainy-day savings fund? Your might get one thanks to Congress’s year-end spending deal.,Business,/m/2c369fe4-7e87-38e5-b420-e6394cd35ec2/need-a-rainy-day-savings.html,
No Santa Claus rally in sight as stocks round out grim 2022: What to know this week,Business,/news/stock-market-short-trading-week-ahead-holidays-rates-recession-120033858.html,
"'It's a bit like musical chairs right now': Big employers like Google, IBM no longer require college degrees in a tight job market, but experts warn that may not last",Business,/news/bit-musical-chairs-now-big-130000345.html,"'It's a bit like musical chairs right now': Big employers like Google, IBM no longer require college degrees in a tight job market, but experts warn that may not lastDropping your kid off at college has long been a milestone for parents just as much as their teens. But is getting a degree going the way of bell bottoms, cable television and calling someone on the phone?With a strong economy and an excess of jobs with few workers to take them, big companies like Google, IBM and Delta Air Lines have eased up on educational requirements in an effort to find hires based on skills and experience instead.With a four-year degree perhaps seemingly not as crucial for Americans climbing the career ladder as it once was — young people might be rethinking the need for higher education as well.“It's a bit [like] musical chairs right now,” says Alicia Modestino, an associate professor and labor economist at Northeastern University. “We're seeing a lot of people shift jobs, move up in the labor market. That’s great.”However, she warns that with the Fed raising interest rates in an effort to quell inflation, Americans need to be prepared for the job market to slow in the coming months.“Pretty soon the music's going to stop — so you want to have someplace to land that's going to be good for the long term.”Don't missBetter than NFTs: You don't have to be ultra-rich to own a piece of a Pablo Picasso. Here's how to enter the fine art market'Hold onto your money': Jeff Bezos says you might want to rethink buying a 'new automobile, refrigerator, or whatever' — here are 3 better recession-proof buysAmericans are paying nearly 40% more on home insurance compared to 12 years ago — here's how to spend less on peace of mindEmployers responding to tight labor marketThe tech industry in particular has been struggling with a talent shortage since pre-pandemic times.Google and 150 other companies use the tech giant’s online college-alternative program to train and hire entry-level workers, reports The Wall Street Journal. And according to CNBC, IBM doesn’t ask for a bachelor’s degree for half of its U.S. roles.Bank of America also doesn’t request college degrees for most of its entry-level jobs, while Delta says degrees for pilot applicants are “preferred” but not required.Story continuesAnd applicants for thousands of government jobs in the state of Maryland no longer need a bachelor’s degree — instead, they can submit any relevant work experience, military training or other educational certificates.This shift arrives during a thriving labor market with low unemployment and high job vacancies. And although there’s been talk of that coming to an end, the Labor Department’s latest jobs report indicated that hiring slowed only slightly in November, with 263,000 jobs added last month, compared to 284,000 jobs in October.Modestino adds there’s precedent for this approach. During the Great Recession, employers responded by focusing on skill requirements in addition to educational requirements since there were more college-educated workers available to them.It may not be an actual ‘culture shift’So should parents stop putting cash away for their kids’ college tuition? Modestino is “pessimistic” about whether big employers relaxing their educational credential requirements is truly part of a “culture shift.”And with recent shifts in the economy, she has concerns about the future of work.“Looking at where we are in terms of the business cycle and what the Fed’s doing with interest rates, [there’s] the potential for us to overshoot and tip into a recession,” Modestino warns.Read more: The 10 best investing apps for 'once-in-a-generation' opportunities (even if you're a beginner)The Fed raised its federal funds rate for the seventh time this year and more hikes are expected to arrive in 2023. Experts like Modestino worry this could trigger a recession, which would mean a slowdown in hiring and potential job and salary cuts.Modestino advised her own son — who has a bachelor’s degree in criminal justice — that he needs to capitalize on the hot job market and get on a career path.“We don't know if it’s going to be a soft landing in the labor market in the next six months,” she says. “So I would certainly urge any young people … that now's the time to make those decisions. Because I do worry that the window’s closing on those opportunities.”She anticipates that when workers are plentiful again and employers have many applications to sift through, many companies will “revert back to the lowest common denominator” when they’re hiring — a four-year college degree.So, is getting a bachelor’s degree actually worth it?Parents may have long encouraged their kids to pursue higher education, but Modestino points out that there are many jobs that don’t require a four-year college degree. And so making that big decision about whether to go to college should depend more on the young person’s career goals.For example, you don’t need a bachelor’s degree to become a phlebotomist, but it’ll likely require a certification in phlebotomy. On the other hand, a PhD is necessary to become a tenured college professor.That said, having more credentials can look good on a resume and open doors for inexperienced workers — especially when job opportunities aren’t as abundant and employers can afford to be choosy.In a recession or weaker labor market, having an academic credential to your name can often have a “sheepskin effect,” Modestino says — an economic phenomenon where employers pay higher wages to workers with degrees.A study from Georgetown University found that bachelor’s degree holders earn 31% more than those with an associate’s degree and 84% more than someone with a high school diploma. But higher education doesn’t always equate to higher earnings.“When you're in a labor market like this, we've seen wages actually rising faster at the bottom because they're so desperate for talent. And so [employers are] actually trying to hire on talent and reward on talent, rather than just a credential,” explains Modestino.But keep in mind that students pay a price for that extra earning potential. With about 43 million borrowers in the U.S. who owe over $1.6 trillion in student debt, getting a degree isn’t always worth the financial burden. Parents pushing their kids to get higher education just for the sake of it might want to have a bigger conversation about whose interests they’re prioritizing.“There's been this message for at least the last two decades that college is the only pathway,” says Modestino.“That's been a disservice, I think, to some young people who would have been better off going to a vocational technical school or taking a different pathway through workforce training and development.”What to read nextYou could be the landlord of Walmart, Whole Foods and Kroger (and collect fat grocery store-anchored income on a quarterly basis)Here are 3 easy money moves to give your bank account a boost todayRich young Americans have lost confidence in the stock market — and are betting on these assets instead. Get in now for strong long-term tailwindsThis article provides information only and should not be construed as advice. It is provided without warranty of any kind."
Warren Buffett’s Investment Aides May Be Having a Tough Year,Business,/m/4abf4749-3aa9-3194-9ba3-75d21c477a7b/warren-buffett%E2%80%99s-investment.html,
401(k) Plan Participants Say They Need to Save This Much to Retire,Business,/news/401-k-plan-participants-save-130058167.html,"A couple looks over their retirement savings. A recent survey found that Americans believe they need $1.9 million saved by retirement.If $1 million was once the consensus target for retirement savings in the U.S., that appears to be changing. A recent Schwab Retirement Plan Services survey found that 401(k) plan participants across the country now believe they must save $1.9 million for retirement. The online survey, handled by Logica Research, conducted 1,000 interviews with plan participants between ages 21 and 70 and gauged confidence levels for achieving their own retirement goals. Whether you’re just beginning to save or quickly approaching retirement age, a financial advisor can help you build a plan.Retirement Survey ResultsIn 2019, the same Schwab survey found that 401(k) participants had a target retirement savings of $1.7 million. That goal has since increased and so has investors’ confidence in reaching their goals. More than half (53%) of survey participants said they are likely to achieve their retirement goals, up 16% from a year ago when the COVID-19 pandemic unleashed massive economic turmoil and uncertainty.“We experienced tremendous stress in our work and home lives this past year that highlighted the importance of financial wellness and the value of trusted advice,” Catherine Golladay, head of Schwab Workplace Financial Services, said in a statement.But 401(k) plan participants say they still face numerous challenges. In fact, 61% said they needed the type of professional advice a financial advisor can provide, including help calculating a retirement savings goal, investing, creating income in retirement and planning for taxes in retirement.How to Save $1.9M for RetirementA recent study found that 401(k) participants believe they need $1.9 million saved for retirement.While the prospect of having $1.9 saved by retirement seems daunting, saving early and often will increase your chances of reaching this goal. Tax-advantaged accounts like 401(k)s and 403(b)s, which are offered through employers, can help you build a nest egg over the years. While annual contributions to these types of plans are capped at $19,500 in 2021 (with a $6,500 catch-up permitted for people 50 and older), those saving for retirement can also contribute $6,000 ($7,000 if you’re over 50) to an individual retirement account (IRA) each year. Those saving for retirement may also want to explore whether a mega backdoor Roth IRA is appropriate for them.Story continuesEvery three years, the Federal Reserve examines the changes in U.S. family finances, including how much people have saved in retirement accounts at various points in their lives. Using data from the Federal Reserve’s 2019 Survey of Consumer Finances, the Center for Retirement Research at Boston College calculated the median retirement savings across several age groups:Median 401(k)/IRA balance for ages 35-44: $51,000Median 401(k)/IRA balance for ages 45-54: $90,000Median 401(k)/IRA balance for ages 55-64: $120,000Here’s how much someone with the median 401(k)/IRA balance at age 35, 45 and 55 would have to save in total each month to reach the $1.9 million threshold by age 65 (these projections assume an 8% annual rate of return):Building a $1.9 Million Nest Egg Age 401(k)/IRA Balance Monthly Savings Retirement Savings at Age 65 35 $51,000 $900 $1,899,046 45 $90,000 $2,475 $1,901,238 55 $120,000 $8,930 $1,900,065A 35-year-old who has already saved $51,000 for retirement is clearly in the best position and would have to sock away $900 per month over the next 30 years to nearly reach the $1.9 million threshold. Older workers would have to save much more each month. A 45-year-old with $90,000 saved must sock away $2,475 per month to eclipse the $1.9 million mark by age 65. Meanwhile, a 55-year-old with $120,000 saved would have to play some serious catch-up and save nearly $9,000 per month to reach their goal within 10 years.Bottom LineA recent study found that 401(k) plan participants believe they'll need $1.9 million in retirement savings.A million bucks isn’t what it used to be. It was once thought a retirement savings milestone, but 401(k) plan participants now believe they’ll need nearly twice as much, according to a Schwab Workplace Financial Services survey. Building up a nest egg that large will likely take time and planning, highlighting the importance of saving for retirement in one’s 20s and 30s.Retirement Saving TipsSmartAsset has a variety of tools that can help you plan for retirement. Our 401(k) calculator can show you how much your account will be worth by the time you retire. Meanwhile, our retirement calculator can help you determine whether you’re on track to meet your retirement goals.Need help managing your investments? How about planning for retirement income? A financial advisor can help you with a myriad of money needs and finding one in your area doesn’t have to be difficult. Finding a qualified financial advisor doesn’t have to be hard. SmartAsset’s free tool matches you with up to three financial advisors who serve your area, and you can interview your advisor matches at no cost to decide which one is right for you. If you’re ready to find an advisor who can help you achieve your financial goals, get started now.Don’t forget to contribute to your 401(k) up to your company’s 401(k) match, if one is available. Otherwise, like a third of Americans, you’re leaving free money on the table.Photo credit: ©iStock.com/izusek, ©iStock.com/iChainarong Prasertthai, ©iStock.com/PiotrekswatThe post 401(k) Plan Participants Say They Need to Save This Much to Retire appeared first on SmartAsset Blog."
"How a Santa Claus rally, or lack thereof, sets the stage for the stock market in first quarter",Business,/m/ae94a268-fba4-3d53-b619-9a1e79c91349/how-a-santa-claus-rally-or.html,
SPAC Boom Ends in Frenzy of Liquidation,Business,/m/a1848647-fbdb-325d-a483-f6ddc6dc5022/spac-boom-ends-in-frenzy-of.html,
"Santa Claus rally, FTX fallout, and restart of Keystone top week ahead",Business,/news/santa-claus-rally-ftx-fallout-014110108.html,"Investors are poised this week to see whether Christmas miracles really do come true with hopes for a Santa Claus rally. Thus far, the Nasdaq is down 8.7% over the past month, while the S&P 500 and Dow are lower by 4.5% and 3.3%, respectively.While Sam Bankman-Fried's next court date is not until Jan. 3, 2023, investors will nonetheless be focused on FTX this week after co-founder Gary Wang and former Alameda Research co-CEO Caroline Ellison both entered guilty pleas in federal court. Both are said to be cooperating with authorities.Initial public offerings this week could include biotech Coya Therapeutics, health tech Nava Health MD, wealth and asset manager Prestige Wealth and marine bunkering facility provider CBL International.Sam Bankman-Fried leaves Federal Court in New York City on Thursday, December 22, 2022. The former CEO of FTX and Alameda has been released on $250M bail.BERNIE MADOFF'S LAWYER SAYS SAM BANKMAN-FRIED SHOULD 'SHUT UP'The markets are closed Monday in observance of Christmas. Here are some must-do financial moves to make before year-end.Tuesday brings economic data, including the Federal Housing Finance Agency's monthly home price index, which is expected to fall by 0.30% since last month but is still expected to be up by 9.1% year over year.READ ON THE FOX BUSINESS APPLast month, William Doerner, the supervisory economist in FHFA’s Division of Research and Statistics commented: ""The rate of U.S. house price growth has substantially decelerated. This deceleration is widespread with about one-third of all states and metropolitan statistical areas registering annual growth below 10 percent.""Tuesday will also see the Case-Shiller home price index. Observers expect the measure to fall by 1.2% month over month. House prices are falling as high mortgage rates deter buyers from entering the market. Mortgage rates remain nearly double what they were a year ago, despite falling for six weeks straight.MORTGAGE RATES CONTINUE DOWNWARD TREND, FALLING FOR SIXTH WEEKTo cope with high inflation and higher costs, UPS will raise delivery fees on Tuesday. Investors will be watching this closely to see how elastic shipping demand is.Story continuesTuesday also marks the deadline for certification of new versions of the Boeing 737 Max, the -10 and -7, and retrofitting existing planes; however, as part of the spending bill passed by the Senate last week, Boeing has been granted an exemption and will no longer have to make the safety changes.CONGRESS INCLUDES WAIVER FOR BOEING'S NEW 737 MAX JETS IN OMNIBUS SPENDING BILLCLICK HERE TO GET THE FOX BUSINESS APPThere are no scheduled earnings calls of note.On Wednesday, TC Energy hopes to restart the Keystone pipeline after it was closed in early December after it spilled 14,000 barrels of oil into a creek in Kansas.The Department of Energy’s deadline for bids to refill the Strategic Petroleum Reserve (SPR) will expire on Wednesday. President Joe Biden announced the release of 15 million barrels in October.SpaceX is expected to launch two rockets on Wednesday. Both missions will use SpaceX Falcon 9 rockets. The first rocket will launch another batch of Starlink internet satellites intended for a polar orbit, while the second rocket, which might launch on Thursday instead, will launch the EROS C3 high-resolution Earth-imaging satellite for ImageSat International.EGG PRICES AT AN ALL-TIME HIGHEgg producer Cal-Maine Foods will release fiscal second-quarter earnings after the market close. Egg prices have skyrocketed in price due to inflation,No earnings of note are scheduled for Thursday.Economic data will include weekly jobless claims. Initial claims are expected to rise to 220,000, while continuing jobless claims are forecast to remain around 1.67 million. The Energy Information Administration releases its weekly petroleum status report.Friday will see the announcement of the bidding results for Alaskan state oil and gas lease sale for the Cook Inlet area.The last day of trading for 2022 will see the release of the Chicago Purchasing Manager's Index but no major earnings reportGET FOX BUSINESS ON THE GO BY CLICKING HERE"
What the Fed’s December rate hike means for homebuyers and sellers,Business,/news/fed-december-rate-hike-means-180200472.html,"This article was originally published on Bankrate.com.The Federal Reserve has raised interest rates for the seventh consecutive time this year. This time, though, the hike is smaller: Fed Chairman Jerome Powell announced a half-point increase in the federal funds rate Dec. 14, which is down from the three-quarter-point increases of the past several meetings. Still, the last time it raised rates by as much in a single year was in the 1980s.In an effort to rein in raging inflation, the Fed boosted interest rates by a quarter-point in March 2022, then by a half-point in May. It raised them even more in June, by three-quarters of a percentage point — which was, at the time, the largest Fed rate hike since 1994 — and went on to do the same in July, September and November.The hikes are designed to cool an economy that was on fire after rebounding from the coronavirus recession of 2020. That dramatic recovery has included a red-hot housing market characterized by record-high home prices and microscopic levels of inventory.However, since late summer the housing market has shown signs of cooling, with appreciation slowing nationally and prices even dropping in many markets. And home prices are driven not just by interest rates but by a complicated mix of factors — so it’s hard to predict exactly how the Fed’s efforts will affect the housing market.“The housing recession is here,” says Marty Green, principal at mortgage law firm Polunsky Beitel Green. “The big question now is how quickly it spreads to the rest of the economy.”Higher rates are challenging for both homebuyers, who have to cope with steeper monthly payments, and sellers, who experience less demand and/or lower offers for their homes.“The cumulative effect of this sharp rise in rates has cooled the housing market and caused the economy to start slowing, but hasn’t done much to lower inflation,” says Greg McBride, CFA, Bankrate’s chief financial analyst.How the Fed affects mortgage ratesThe Federal Reserve does not set mortgage rates, and the central bank’s decisions don’t move mortgages as directly as they do other products, such as savings accounts and CD rates. Instead, mortgage rates tend to move in lockstep with 10-year Treasury yields.Story continuesStill, the Fed’s behavior sets the overall tone for mortgage rates. Mortgage lenders and investors closely watch the central bank, and the mortgage market’s attempts to interpret the Fed’s actions affect how much you pay for your home loan.The December rate hike was the seventh bump in 2022, a year that saw mortgage rates swing wildly from 3.4 percent in January all the way to 7.12 percent in October before inching back down again. “Such increases diminish purchase affordability, making it even harder for lower-income and first-time buyers to purchase a home,” says Clare Losey, assistant research economist at the Texas Real Estate Research Center at Texas A&M University.How much do mortgage rates affect housing demand?There’s no doubt that record-low mortgage rates helped fuel the housing boom of 2020 and 2021. Some think it was the single most important factor in pushing the residential real estate market into overdrive.Now that rates have surged higher than they’ve been in two decades, how will that affect home sales and prices? “Mortgage rates [have] caused refinance activity to effectively stop and home purchase activity to slow markedly,” says Mike Fratantoni, chief economist for the Mortgage Bankers Association. Not only have sales slowed, but economists expect price declines of anywhere from a few percentage points to more than 20 percent.Yet, in the long term, home prices and home sales tend to be resilient to rising mortgage rates, housing economists say. That’s because individual life events that prompt a home purchase — the birth of a child, marriage, a job change — don’t always correspond conveniently with mortgage rate cycles.History bears this out. In the 1980s, mortgage rates soared as high as 18 percent, yet Americans still bought homes. In the 1990s, rates of 8 percent to 9 percent were common, and Americans continued snapping up homes. During the housing bubble of 2004 to 2007, mortgage rates were higher than they are today — and prices soared.So the current slowdown may be more of an overheated market’s return to normalcy rather than the signal of an incipient crash. “The combination of elevated mortgage rates and steep home-price growth over the past few years has greatly reduced affordability,” says Fratantoni. “The volatility seen in mortgage rates should subside once inflation begins to slow and the peak rate for this hiking cycle comes into view.”For now, though, the housing market remains difficult for buyers.“The housing sector is the most sensitive to and experiences the most immediate impacts from the Federal Reserve’s interest rate policy changes,” says NAR Chief Economist Lawrence Yun. “The softness in home sales reflects this year’s escalating mortgage rates.”Yun says the average monthly mortgage payment has jumped 28 percent over the past year, a bit of sticker shock that’s bound to reverberate through the housing economy. “I expect the pace of price appreciation to slow as demand cools and as supply improves somewhat due to more home construction,” he says.In fact, the National Association of Realtors (NAR) says the housing squeeze is already easing as demand declines. The inventory of homes for sale rose to a 3.3-month supply in October, compared to a record-low 1.6-month supply in January.Next steps for borrowersHere are some tips for dealing with the climate of rising interest rates:Shop around for a mortgage. Savvy shopping can help you find a better-than-average rate. With the refinance boom slowing, lenders are eager for your business. “Conducting an online search can save thousands of dollars by finding lenders offering a lower rate and more competitive fees,” McBride says.Be cautious about ARMs. Adjustable-rate mortgages are growing more tempting, but McBride says borrowers should steer clear. “Don’t fall into the trap of using an adjustable-rate mortgage as a crutch of affordability,” McBride says. “There is little in the way of up-front savings, an average of just one-half percentage point for the first five years, but the risk of higher rates in future years looms large. New adjustable mortgage products are structured to change every six months rather than every 12 months, which had previously been the norm.”Consider a HELOC. While mortgage refinancing is on the wane, many homeowners are turning to home equity lines of credit (HELOCs) for tapping home equity.This story was originally featured on Fortune.comMore from Fortune: People who skipped their COVID vaccine are at higher risk of traffic incidentsElon Musk says getting booed by Dave Chapelle fans 'was a first for me in real life' suggesting he's aware of building backlashGen Z and young millennials have found a new way to afford luxury handbags and watches—living with mom and dadMeghan Markle’s real sin that the British public can’t forgive–and Americans can’t understand"
This Former Auto Executive Is Now CEO of a Billion-Dollar Online Pharmacy,Business,/m/13f93fef-20e1-3a5e-ad99-766d75de1b38/this-former-auto-executive-is.html,
The Top 5 Dow Stock Losers of 2022,Business,/m/b5c9b1d9-3a9c-3753-9a3b-19549657cd3e/the-top-5-dow-stock-losers-of.html,
"4 Times Advisors Should Use Custom Indexing, According to Vanguard",Business,/news/4-times-advisors-custom-indexing-202603307.html,"Direct indexing is a hot strategy for financial advisors looking to differentiate themselves to potential clients – but what is it and when does it make sense for clients?The idea behind indexing, of course, isn’t new. Vanguard Group founder John Bogle created the world’s first index mutual fund in 1975 when he launched the Vanguard 500 fund, which did nothing more than track the stocks listed in the Standard & Poor’s 500 Index. Instead of a complex scenario in which fund managers picking individual stocks, the index was simple for investors to understand, provided broad-based exposure to U.S. equities and was cheap to run, resulting in lower fees.As of 2021, there were 7,481 mutual funds in the U.S. – and that total was a drop from 2020. But despite a plethora of indexes fund managers could follow, funds were still aiming to cover a broad mix of stocks. The advantage of custom indexing – also called direct indexing or personalized indexing – eschews the one-size-fits-all approach to create an index designed to meet a the goals of a single investor. Custom indexing can be a great way investors to content with a challenging market and will be increasingly popular, as O’Shaughnessy predicts that by 2025 most financial advisors will have software to manage custom indexes.For more assistance working custom indexing into your financial plan, consider working with a financial advisor.What Is Custom Indexing?A custom index is set up as a separately managed account for an investor that directly purchases individual stocks. Those selections are based on an existing index, then adjusted and tweaked using sophisticated software to match the needs, circumstances and priorities of the individual account-holder. These accounts carry higher fees, of course, and are best suited for high net-worth individuals with substantial portfolios who can benefit from a range of customized options, particularly in four scenarios.Tax-loss harvesting: Even when a given index is up some of its individual stocks are trading at a loss. Because the investor in a custom index holds individual stocks, it’s possible to sell off those shares that are down, creating a tax loss that can be used to offset the taxes due on the overall gain of the index. Another advantage is being able to separate long-term and short-term losses and gains within the index.Story continuesESG investing: Socially conscious investors concerned about the environmental, social, and governance polices and standards of the companies that make up their holdings. Unlike investing in a standard index, a custom index can be designed to avoid shares of firms involved with fossil fuels or weapons, for example, to include firms that promote diversity and inclusion, or to bypass companies with particular political ties or a history of illegal behavior.Factor investing: Investing in companies with specific characteristics – “factors” – such as value, rapid-growth or in highly specialized market segments is difficult to achieve with a standard mutual fund or ETF. With virtually any individual stock available, a custom index can be tailored to meet those criteria.Diversification: Standard indexes built around growth, value or some other factor can end up overly concentrated in certain sectors, such as technology. In addition, a senior executive may be required to hold a significant number of shares in his employer. A healthcare CEO, for example, can create a custom index.Bottom LineCustom indexing entails creating a separately managed account for an investor that directly purchases individual stocks. This technique is growing in popularity among financial advisors who have the software to personalize this strategy to meet the needs of the investor.Tips on InvestingInvesting, whether in custom indexing or buying individual stocks, can be complex. Sometimes it helps to have an expert at your disposal. SmartAsset’s free tool matches you with financial advisors in your area in five minutes. If you’re ready to be matched with local advisors who will help you achieve your financial goals, get started now.In addition to working with a financial advisor be sure to make use of our free investment calculator to give you a quick estimate of how your portfolio will do over time.Photo credit: ©iStock.com/emagraphics, ©iStock.com/espixThe post 4 Times Advisors Should Use Custom Indexing, According to Vanguard appeared first on SmartAsset Blog."
How to Invest in Rivian,Business,/news/invest-rivian-200758173.html,"How to Invest in RivianRivian is an American electric vehicle manufacturer. Founded in 2009, this firm isn’t one of the big car companies that have dominated the market for years. Nevertheless, it is considered one of the main rivals to Tesla. Instead, this newcomer is hoping to take advantage of the EV transition to break into the personal vehicle market and help reshape it for good. Here’s what you need to know as an investor. Whether you invest in established companies or want to buy a stake in a newer corporation, take advantage of the insights and guidance of a financial advisor.Rivian’s Business ModelRivian is an electric vehicle company that focuses on truck-style products. For the consumer market, the company builds pickup truck style and sports utility style vehicles. For the business market, the company builds delivery vans and an interchangeable “skateboard” chassis that allows for modifications based on the needs of an individual business.Rivian also plans to open and operate a network of charging stations for electric vehicles across Canada and the United States. In 2021 the company launched three models. Keys to its vehicles feature bluetooth wireless and near field communication technologies. At time of writing, its market capitalization was about $34 billion.How to Invest in RivianHow to Invest in RivianYou can directly invest in Rivian. This company, which is backed by Amazon, went public in November 2021. It is a common stock listed as Rivian Automotive, Inc. on the NASDAQ market. Its ticker symbol is RIVN, and at time of writing it traded for approximately $43. If you would like to invest in this stock, you can do so directly through any brokerage that trades public shares. This can involve:Working with a broker directlyIf you trade stocks through a third-party broker, you can contact and instruct them to buy shares of Rivian on your behalf.Working through an online brokerIf you trade stocks through an online broker, such as E*TRADE, you can buy shares of Rivian on your own behalf. Log on to your portfolio account and search for the RIVN stock. You will then be able to directly buy shares of Rivian.Story continuesRisks and OpportunitiesRivian’s main opportunity and risk are the same: It is attempting to break into an established industry with a brand-new technology. While there are risks and reward to breaking into an established industry, the biggest issue with Rivian is that it is a new technology firm. Electric vehicles are still an evolving industry. While this technology has progressed to a certain level of consumer adoption, it hasn’t completely arrived yet. Issues like distance driving, charging times, charging access and expense continue to raise problems with widespread EV adoption.Most notably the ideal user class for current electric vehicles is urban drivers, as these are consumers who need their cars for shorter bursts that more readily accommodate the range of an electric vehicle. Yet this is also the consumer class most likely to live in an apartment, and therefore not have access to an overnight charging station for their vehicle. By contrast, suburban and rural consumers are more likely to own their own homes and so be able to build a station in their driveway or garage for overnight charging. Yet this is also the category of consumer most likely to need their car for the kind of long trips for which EVs are still not well suited.Engineers are confident that car companies can and will solve these problems, but the question of who and how remains open.The Bottom LineHow to Invest in RivianRivian is an electric vehicle company that focuses on trucks and truck-style vehicles. It was founded in 2009 and went public in late 2021. Shares are available on the NASDAQ exchange under RIVN. Rivian will likely do quite well if it can stay technologically ahead in this competitive industry. It will likely struggle if it cannot. The volatility of the company’s stock, which has swung between highs over $170 and lows around $50, reflects this uncertainty.Tips on InvestingElectric vehicles are getting huge, with many car companies pledging partial or total overhauls to their fleets. Yet refueling remains arguably the biggest obstacle to widespread adoption. It still can take between 15 and 30 minutes to recharge an electric vehicle, far too long for a stop at the gas station. That’s a problem in many places, but not all.Investing in any individual company is a gamble, but that doesn’t mean it’s a bad idea. Consider working with a financial advisor as you assess electric vehicle company shares. Finding a qualified financial advisor doesn’t have to be hard. SmartAsset’s free tool matches you with up to three financial advisors who serve your area, and you can interview your advisor matches at no cost to decide which one is right for you. If you’re ready to find an advisor who can help you achieve your financial goals, get started now.Photo credit: ©iStock.com/baona, ©iStock.com/??????? ???????, ©iStock.com/Chesky_WThe post How to Invest in Rivian appeared first on SmartAsset Blog."
Tesla Shares Head for Worst Year Ever as Elon Musk Focuses on Twitter,Business,/m/58ad5b87-69b4-387e-9c64-bd1f04192858/tesla-shares-head-for-worst.html,
